Name,N_sample,Dim,Size (GB),mpts,is_initial_kNNG_connected,is_new_kNNG_connected
anuran,7195.0,22.0,0.00126632,10.0,False,False
anuran,7195.0,21.0,0.00120876,10.0,False,False
