Name,N_sample,Dim,Size (GB),mpts,is_initial_kNNG_connected,is_new_kNNG_connected,Time_myMethod,Time_exact_HDBSCAN,ARI_myMethod,HAI_myMethod,Time_app_HDBSCAN,ARI_APP_HDBSCAN,HAI_APP_HDBSCAN
beans,13611.0,16.0,0.001742208,10.0,True,True,6.280849456787109,8.331952095031738,0.9840252356864868,0.9880502792956668,3.859641790390015,0.9846932993978732,0.9885589019238684
beans,13611.0,16.0,0.001742208,10.0,True,True,7.317165374755859,7.646866083145142,0.9840252356864868,0.988026434500378,3.917816400527954,0.9846932993978732,0.9885548822035698
beans,13611.0,16.0,0.001742208,10.0,True,True,6.487806558609009,7.9307191371917725,0.9840252356864868,0.9880675022119942,3.855008602142334,0.984008635969295,0.9885518766270476
beans,13611.0,16.0,0.001742208,10.0,True,True,8.298973798751831,7.955826044082642,0.9840252356864868,0.9880574546726988,4.133602380752564,0.9846932993978732,0.9885577065709056
beans,13611.0,16.0,0.001742208,10.0,True,True,6.474461317062378,8.085246562957764,0.9840252356864868,0.9880788337735624,3.870160579681397,0.984008635969295,0.9885577840940902
beans,13611.0,16.0,0.001742208,20.0,True,True,11.175849199295044,8.336017847061157,0.9926737651750778,0.994704022859547,4.079481363296509,0.9940898597666232,0.9948552344360668
beans,13611.0,16.0,0.001742208,20.0,True,True,9.323456048965454,8.084193706512451,0.9926737651750778,0.9947128673551768,4.045935153961182,0.9934175701008024,0.9948524328342552
beans,13611.0,16.0,0.001742208,20.0,True,True,9.530259847640991,7.747464656829834,0.9933811412465552,0.9946965648113424,4.088613510131836,0.9934175701008024,0.9948516122422209
beans,13611.0,16.0,0.001742208,20.0,True,True,9.47023892402649,8.174234390258789,0.9926737651750778,0.9947007271549374,4.085917711257935,0.9940898597666232,0.9948538864778051
beans,13611.0,16.0,0.001742208,20.0,True,True,9.046518564224243,7.748526096343994,0.9927166709681506,0.9947068856444244,4.083073854446411,0.9934175701008024,0.9948524237287766
beans,13611.0,16.0,0.001742208,30.0,True,True,12.781856060028076,8.331368207931519,0.9971751527602228,0.9961379281093636,4.290359258651733,0.99717240978505,0.996169217049064
beans,13611.0,16.0,0.001742208,30.0,True,True,12.925868272781372,8.201565504074097,0.9971751527602228,0.9961346051581084,4.233760595321655,0.9978261357977302,0.9961864586108676
beans,13611.0,16.0,0.001742208,30.0,True,True,12.73351502418518,8.112665176391602,0.9971751527602228,0.9961319277949584,4.314509391784668,0.99717240978505,0.9961662604641018
beans,13611.0,16.0,0.001742208,30.0,True,True,12.687939405441284,8.018301725387573,0.9971751527602228,0.996126130354864,4.194077014923096,0.9978261357977302,0.996183014476086
gamma,4999.0,2.0,7.9984e-05,10.0,False,True,2.851105213165283,1.114152431488037,1.0,0.9975111962964256,0.3095450401306152,1.0,0.9975111962003638
gamma,4999.0,2.0,7.9984e-05,10.0,False,True,2.8906824588775635,1.1237263679504397,1.0,0.9976155086633308,0.309300422668457,1.0,0.997629817182727
gamma,4999.0,2.0,7.9984e-05,10.0,False,True,2.9107420444488525,1.1285614967346191,1.0,0.9975271849917298,0.3080754280090332,1.0,0.997556093341264
gamma,4999.0,2.0,7.9984e-05,10.0,False,True,2.8360414505004883,1.1510930061340332,1.0,0.9973835831038192,0.3099472522735595,1.0,0.9973785425120671
gamma,4999.0,2.0,7.9984e-05,10.0,False,True,2.9572527408599854,1.1438546180725098,1.0,0.9976767314376424,0.3113408088684082,1.0,0.9976800283593972
gamma,4999.0,2.0,7.9984e-05,20.0,False,True,4.176172256469727,1.1644959449768066,1.0,0.9986783082635632,0.3121981620788574,1.0,0.9986760883398762
gamma,4999.0,2.0,7.9984e-05,20.0,False,True,4.123591899871826,1.1257727146148682,1.0,0.9985597962745888,0.3134167194366455,1.0,0.9985609133286872
gamma,4999.0,2.0,7.9984e-05,20.0,False,True,4.085726022720337,1.110450267791748,1.0,0.9985961780352772,0.3127028942108154,1.0,0.9985960601085356
gamma,4999.0,2.0,7.9984e-05,20.0,False,True,4.128305912017822,1.1042728424072266,1.0,0.9985576555343996,0.3144404888153076,1.0,0.998561174061094
gamma,4999.0,2.0,7.9984e-05,20.0,False,True,4.154283761978149,1.1330981254577637,1.0,0.9986570828908852,0.3110725879669189,1.0,0.9986578829868475
gamma,4999.0,2.0,7.9984e-05,30.0,False,True,5.43111252784729,1.108031988143921,1.0,0.9990378067034846,0.3156938552856445,1.0,0.9990383316263756
gamma,4999.0,2.0,7.9984e-05,30.0,False,True,5.376249074935913,1.1082825660705566,1.0,0.9990666167220396,0.3183867931365967,1.0,0.9990664987952972
gamma,4999.0,2.0,7.9984e-05,30.0,False,True,5.198022842407227,1.1255261898040771,1.0,0.9990636350614024,0.3201904296875,1.0,0.9990637638426556
gamma,4999.0,2.0,7.9984e-05,30.0,False,True,5.415773868560791,1.116823434829712,1.0,0.9990612744132946,0.3175616264343261,1.0,0.9990613414294964
gamma,4999.0,2.0,7.9984e-05,30.0,False,True,5.376330375671387,1.133415937423706,0.9996997897447888,0.9989230280581652,0.3240823745727539,0.9996997897447888,0.9989236648881866
gamma,4999.0,10.0,0.00039992,10.0,False,True,2.994711399078369,1.1167540550231934,1.0,0.9979905464409928,0.7027990818023682,1.0,0.9984107131786232
gamma,4999.0,10.0,0.00039992,10.0,False,True,2.962934732437134,1.157994270324707,1.0,0.997885002071031,0.5202407836914062,1.0,0.9983842938421842
gamma,4999.0,10.0,0.00039992,10.0,False,True,3.1260218620300293,1.1163620948791504,1.0,0.9979787447694036,0.5140588283538818,1.0,0.9984383757248212
gamma,4999.0,10.0,0.00039992,10.0,False,True,2.954303741455078,1.107343673706055,1.0,0.9979507153150944,0.5136773586273193,1.0,0.9984356260433505
gamma,4999.0,10.0,0.00039992,10.0,False,True,3.021639347076416,1.0999650955200195,1.0,0.9979843024073196,0.5123941898345947,1.0,0.9984160806224404
gamma,4999.0,10.0,0.00039992,20.0,False,True,4.048622131347656,1.115997076034546,1.0,0.999103981728557,0.5077173709869385,1.0,0.999199647404482
gamma,4999.0,10.0,0.00039992,20.0,False,True,4.210681676864624,1.1104145050048828,1.0,0.9990828994817392,0.507232666015625,1.0,0.9991877245722156
gamma,4999.0,10.0,0.00039992,20.0,False,True,4.296708583831787,1.1033730506896973,1.0,0.9990810296240492,0.5055990219116211,1.0,0.9991999826776048
gamma,4999.0,10.0,0.00039992,20.0,False,True,4.315161228179932,1.111433506011963,1.0,0.9990352401078356,0.5054636001586914,1.0,0.9991682939401676
gamma,4999.0,10.0,0.00039992,20.0,False,True,4.186694622039795,1.1068785190582275,1.0,0.9990741788263936,0.5063736438751221,1.0,0.9991843251249544
gamma,4999.0,10.0,0.00039992,30.0,False,True,5.357885360717773,1.0949699878692627,1.0,0.9993954966985508,0.5114161968231201,1.0,0.9994232411498926
gamma,4999.0,10.0,0.00039992,30.0,False,True,5.293858528137207,1.094676494598389,1.0,0.9993670298938844,0.5125808715820312,1.0,0.9994031506980334
gamma,4999.0,10.0,0.00039992,30.0,False,True,5.285329580307007,1.1557049751281738,1.0,0.9993694891611504,0.5058817863464355,1.0,0.999406759743028
gamma,4999.0,10.0,0.00039992,30.0,False,True,5.258400917053223,1.1042273044586182,1.0,0.9993772493683426,0.5146462917327881,1.0,0.9994127895361776
